日期,时间,纬度,经度,地面速率,地面航向,GPS状态,使用卫星数量,海拔高度
17年05月10日,09时41分08秒,北纬40.48213度,东经111.4144度,4.400000节,226.400000度,码差分,10,1055,
17年05月10日,09时41分09秒,北纬40.48213度,东经111.4144度,4.600000节,228.900000度,码差分,10,1055,
17年05月10日,09时41分10秒,北纬40.48212度,东经111.4144度,4.300000节,256.400000度,码差分,10,1054,
17年05月10日,09时41分11秒,北纬40.48212度,东经111.4144度,4.200000节,255.000000度,码差分,10,1054,
17年05月10日,09时41分12秒,北纬40.48211度,东经111.4144度,3.000000节,254.400000度,码差分,10,1054,
17年05月10日,09时41分13秒,北纬40.48211度,东经111.4144度,0.100000节,254.400000度,码差分,10,1053,
17年05月10日,09时41分15秒,北纬40.48211度,东经111.4144度,0.000000节,254.400000度,码差分,10,1054,
17年05月10日,09时41分15秒,北纬40.48211度,东经111.4144度,0.000000节,254.400000度,码差分,10,1054,
17年05月10日,09时41分16秒,北纬40.48211度,东经111.4144度,0.000000节,254.300000度,码差分,10,1054,
17年05月10日,09时41分17秒,北纬40.48211度,东经111.4144度,0.000000节,254.400000度,码差分,10,1054,
17年05月10日,09时41分18秒,北纬40.48211度,东经111.4144度,0.000000节,254.400000度,码差分,10,1054,
17年05月10日,09时41分19秒,北纬40.48211度,东经111.4144度,0.100000节,254.400000度,码差分,10,1054,
17年05月10日,09时41分20秒,北纬40.48210度,东经111.4144度,0.300000节,254.400000度,码差分,10,1054,
17年05月10日,09时41分21秒,北纬40.48211度,东经111.4143度,8.000000节,281.900000度,码差分,10,1054,
17年05月10日,09时41分23秒,北纬40.48212度,东经111.4143度,10.600000节,281.800000度,码差分,10,1053,
17年05月10日,09时41分24秒,北纬40.48212度,东经111.4142度,10.300000节,271.100000度,码差分,09,1053,
17年05月10日,09时41分24秒,北纬40.48212度,东经111.4142度,10.300000节,271.100000度,码差分,10,1053,
17年05月10日,09时41分25秒,北纬40.48212度,东经111.4142度,10.300000节,256.000000度,码差分,10,1053,
17年05月10日,09时41分26秒,北纬40.48211度,东经111.4141度,9.700000节,243.600000度,码差分,10,1053,
17年05月10日,09时41分27秒,北纬40.48210度,东经111.4141度,8.900000节,232.400000度,码差分,10,1052,
17年05月10日,09时41分28秒,北纬40.48208度,东经111.4141度,7.500000节,222.300000度,码差分,10,1052,
17年05月10日,09时41分29秒,北纬40.48207度,东经111.4141度,6.700000节,210.500000度,码差分,10,1052,
17年05月10日,09时41分30秒,北纬40.48205度,东经111.4140度,6.300000节,196.500000度,码差分,10,1053,
17年05月10日,09时41分31秒,北纬40.48203度,东经111.4140度,5.600000节,176.700000度,码差分,10,1053,
17年05月10日,09时41分32秒,北纬40.48201度,东经111.4140度,6.200000节,170.500000度,码差分,10,1052,
17年05月10日,09时41分33秒,北纬40.48199度,东经111.4140度,7.800000节,168.300000度,码差分,10,1052,
17年05月10日,09时41分34秒,北纬40.48197度,东经111.4141度,9.100000节,168.000000度,码差分,10,1052,
17年05月10日,09时41分35秒,北纬40.48195度,东经111.4141度,10.500000节,167.200000度,码差分,10,1051,
17年05月10日,09时41分36秒,北纬40.48192度,东经111.4141度,10.800000节,164.900000度,码差分,10,1051,
17年05月10日,09时41分37秒,北纬40.48189度,东经111.4141度,10.600000节,162.100000度,码差分,10,1051,
17年05月10日,09时41分38秒,北纬40.48186度,东经111.4141度,10.500000节,163.200000度,码差分,10,1051,
17年05月10日,09时41分40秒,北纬40.48180度,东经111.4141度,11.800000节,161.800000度,码差分,10,1051,
17年05月10日,09时41分40秒,北纬40.48180度,东经111.4141度,11.800000节,161.800000度,码差分,10,1050,
17年05月10日,09时41分41秒,北纬40.48177度,东经111.4141度,12.000000节,160.100000度,码差分,10,1050,
17年05月10日,09时41分42秒,北纬40.48173度,东经111.4142度,12.600000节,158.800000度,码差分,10,1049,
17年05月10日,09时41分44秒,北纬40.48166度,东经111.4142度,13.100000节,158.500000度,码差分,10,1049,
17年05月10日,09时41分44秒,北纬40.48166度,东经111.4142度,13.100000节,158.500000度,码差分,10,1049,
17年05月10日,09时41分45秒,北纬40.48163度,东经111.4142度,13.100000节,158.600000度,码差分,10,1048,
17年05月10日,09时41分47秒,北纬40.48156度,东经111.4142度,12.300000节,166.900000度,码差分,10,1048,
17年05月10日,09时41分48秒,北纬40.48152度,东经111.4142度,13.200000节,163.400000度,码差分,10,1047,
17年05月10日,09时41分48秒,北纬40.48152度,东经111.4142度,13.200000节,163.400000度,码差分,10,1047,
17年05月10日,09时41分49秒,北纬40.48149度,东经111.4143度,13.400000节,162.800000度,码差分,10,1046,
17年05月10日,09时41分50秒,北纬40.48145度,东经111.4143度,13.400000节,162.100000度,码差分,10,1046,
17年05月10日,09时41分51秒,北纬40.48142度,东经111.4143度,14.200000节,160.900000度,码差分,10,1046,
17年05月10日,09时41分52秒,北纬40.48138度,东经111.4143度,14.500000节,160.100000度,码差分,10,1046,
17年05月10日,09时41分53秒,北纬40.48134度,东经111.4143度,13.500000节,160.200000度,码差分,10,1045,
17年05月10日,09时41分54秒,北纬40.48130度,东经111.4143度,13.000000节,167.000000度,码差分,10,1045,
17年05月10日,09时41分55秒,北纬40.48126度,东经111.4144度,12.100000节,166.200000度,码差分,10,1045,
17年05月10日,09时41分56秒,北纬40.48123度,东经111.4144度,12.400000节,164.300000度,码差分,10,1045,
17年05月10日,09时41分57秒,北纬40.48120度,东经111.4144度,12.200000节,164.900000度,码差分,10,1044,
17年05月10日,09时41分58秒,北纬40.48117度,东经111.4144度,11.400000节,163.900000度,码差分,10,1044,
17年05月10日,09时41分59秒,北纬40.48114度,东经111.4144度,11.400000节,162.800000度,码差分,10,1044,
17年05月10日,09时42分00秒,北纬40.48111度,东经111.4144度,11.400000节,162.700000度,码差分,10,1043,
17年05月10日,09时42分01秒,北纬40.48108度,东经111.4144度,11.400000节,162.000000度,码差分,10,1043,
17年05月10日,09时42分02秒,北纬40.48105度,东经111.4145度,11.800000节,161.300000度,码差分,10,1043,
17年05月10日,09时42分03秒,北纬40.48102度,东经111.4145度,11.800000节,160.700000度,码差分,09,1042,
17年05月10日,09时42分04秒,北纬40.48098度,东经111.4145度,11.300000节,161.000000度,码差分,10,1042,
17年05月10日,09时42分05秒,北纬40.48096度,东经111.4145度,10.200000节,171.400000度,码差分,10,1042,
17年05月10日,09时42分06秒,北纬40.48093度,东经111.4145度,9.400000节,187.200000度,码差分,10,1042,
17年05月10日,09时42分07秒,北纬40.48091度,东经111.4145度,9.000000节,199.600000度,码差分,10,1041,
17年05月10日,09时42分08秒,北纬40.48088度,东经111.4145度,8.600000节,215.700000度,码差分,10,1041,
17年05月10日,09时42分09秒,北纬40.48087度,东经111.4144度,7.800000节,229.100000度,码差分,10,1041,
17年05月10日,09时42分10秒,北纬40.48086度,东经111.4144度,8.900000节,243.300000度,码差分,10,1041,
17年05月10日,09时42分11秒,北纬40.48085度,东经111.4144度,9.500000节,245.200000度,码差分,10,1042,
17年05月10日,09时42分13秒,北纬40.48083度,东经111.4143度,8.200000节,253.700000度,码差分,10,1042,
17年05月10日,09时42分14秒,北纬40.48082度,东经111.4143度,8.100000节,252.700000度,码差分,10,1042,
17年05月10日,09时42分14秒,北纬40.48082度,东经111.4143度,8.100000节,252.700000度,码差分,10,1041,
17年05月10日,09时42分15秒,北纬40.48081度,东经111.4143度,7.700000节,252.000000度,码差分,10,1041,
17年05月10日,09时42分16秒,北纬40.48081度,东经111.4142度,7.600000节,248.900000度,码差分,10,1041,
17年05月10日,09时42分18秒,北纬40.48079度,东经111.4142度,7.200000节,250.000000度,码差分,10,1041,
17年05月10日,09时42分18秒,北纬40.48079度,东经111.4142度,7.200000节,250.000000度,码差分,10,1041,
17年05月10日,09时42分20秒,北纬40.48078度,东经111.4141度,5.900000节,251.700000度,码差分,10,1041,
17年05月10日,09时42分20秒,北纬40.48078度,东经111.4141度,5.900000节,251.700000度,码差分,10,1042,
17年05月10日,09时42分21秒,北纬40.48077度,东经111.4141度,3.900000节,251.900000度,码差分,10,1042,
17年05月10日,09时42分23秒,北纬40.48076度,东经111.4141度,4.000000节,258.600000度,码差分,10,1042,
17年05月10日,09时42分23秒,北纬40.48076度,东经111.4141度,4.000000节,258.600000度,码差分,10,1042,
17年05月10日,09时42分24秒,北纬40.48076度,东经111.4141度,3.700000节,256.900000度,码差分,10,1042,
17年05月10日,09时42分26秒,北纬40.48075度,东经111.4141度,3.100000节,253.500000度,码差分,10,1042,
17年05月10日,09时42分26秒,北纬40.48075度,东经111.4141度,3.100000节,253.500000度,码差分,10,1043,
17年05月10日,09时42分28秒,北纬40.48075度,东经111.4140度,3.900000节,249.800000度,码差分,10,1043,
17年05月10日,09时42分28秒,北纬40.48075度,东经111.4140度,3.900000节,249.800000度,码差分,10,1044,
17年05月10日,09时42分30秒,北纬40.48074度,东经111.4140度,3.900000节,250.600000度,码差分,10,1044,
17年05月10日,09时42分31秒,北纬40.48074度,东经111.4140度,3.300000节,252.000000度,码差分,10,1044,
17年05月10日,09时42分32秒,北纬40.48075度,东经111.4140度,3.300000节,255.600000度,码差分,10,1045,
17年05月10日,09时42分32秒,北纬40.48075度,东经111.4140度,3.300000节,255.600000度,码差分,10,1045,
17年05月10日,09时42分33秒,北纬40.48076度,东经111.4140度,4.300000节,260.900000度,码差分,10,1046,
17年05月10日,09时42分35秒,北纬40.48078度,东经111.4140度,2.700000节,354.600000度,码差分,10,1046,
17年05月10日,09时42分35秒,北纬40.48078度,东经111.4140度,2.700000节,354.600000度,码差分,10,1047,
17年05月10日,09时42分37秒,北纬40.48079度,东经111.4140度,2.700000节,354.600000度,码差分,10,1047,
17年05月10日,09时42分37秒,北纬40.48079度,东经111.4140度,2.700000节,354.600000度,码差分,10,1047,
17年05月10日,09时42分39秒,北纬40.48080度,东经111.4140度,2.500000节,354.600000度,码差分,10,1048,
17年05月10日,09时42分39秒,北纬40.48080度,东经111.4140度,2.500000节,354.600000度,码差分,10,1048,
17年05月10日,09时42分40秒,北纬40.48080度,东经111.4140度,1.700000节,354.600000度,码差分,10,1048,
17年05月10日,09时42分41秒,北纬40.48080度,东经111.4140度,1.700000节,354.600000度,码差分,10,1049,
17年05月10日,09时42分42秒,北纬40.48080度,东经111.4140度,1.600000节,354.600000度,码差分,10,1049,
17年05月10日,09时42分44秒,北纬40.48080度,东经111.4140度,1.400000节,354.600000度,码差分,10,1049,
17年05月10日,09时42分44秒,北纬40.48080度,东经111.4140度,1.400000节,354.600000度,码差分,10,1049,
17年05月10日,09时42分45秒,北纬40.48081度,东经111.4140度,1.500000节,354.600000度,码差分,10,1049,
17年05月10日,09时42分47秒,北纬40.48081度,东经111.4140度,1.200000节,354.600000度,码差分,10,1049,
17年05月10日,09时42分47秒,北纬40.48081度,东经111.4140度,1.200000节,354.600000度,码差分,10,1049,
17年05月10日,09时42分49秒,北纬40.48081度,东经111.4140度,0.400000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分50秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分50秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分52秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分53秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分53秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分55秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分56秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分56秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分58秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时42分58秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,10,1050,
17年05月10日,09时43分00秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分00秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分02秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分03秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分03秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分05秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分05秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分06秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分07秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分09秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分10秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
17年05月10日,09时43分10秒,北纬40.48081度,东经111.4140度,0.000000节,354.600000度,码差分,09,1050,
