日期,时间,纬度,经度,地面速率,地面航向,GPS状态,使用卫星数量,海拔高度
17年05月10日,09时36分29秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分30秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分31秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分32秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分33秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分34秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分35秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分36秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分37秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分38秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分39秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分40秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分41秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分42秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分43秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分44秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分45秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分46秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,09,1057,
17年05月10日,09时36分47秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分48秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分49秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
17年05月10日,09时36分50秒,北纬40.47719度,东经111.4169度,0.000000节,347.200000度,码差分,10,1057,
